CookerStat, GenerateAssetRegistry=0.088613, Initialize=0.364039, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01036CF74B7C96300468C48E8F24B76A__1_0_13123_0, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=458, Duration=0.585400, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_A2BEB1D445B1FED228164B97C40EF458__CB6967C39B086C58D76220A56599FDC26D4192B1, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=8452, Duration=0.779074, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_A2BEB1D445B1FED228164B97C40EF458__F650014258B0937F99280B2BD0B28A22DB0589A4, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=4143, Duration=0.458077, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_AEB1518E4CE9DBD8A758B286439424B8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=4.310332, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_AEB1518E4CE9DBD8A758B286439424B8__05C0CC56FAFECC07432B1A201CC47A44B6B29529, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=3267, Duration=0.606187, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D94099845D57BB02943F4BA2B1E89B6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=19.714394, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D94099845D57BB02943F4BA2B1E8__0A2339D28D64FD72247AB71319752003DAF1C0AC, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=131335, Duration=0.891581, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D94099845D57BB02943F4BA2B1E8__8718C1E8FCEEC14D8F830D44D946D66A8C67A3FB, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=33031, Duration=0.801336, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D94099845D57BB02943F4BA2B1E8__0DABAD89BE95C04B13610851EAF17D0F729D5B45, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=8454, Duration=0.710420, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_719814B34731946C44695FB7ADEF8BE9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=3.018286, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D94099845D57BB02943F4BA2B1E8__90FE97F4F3821C3120F1724B67CD0D614DCB6800, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=4178, Duration=0.454828, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_719814B34731946C44695FB7ADEF8__35B8BDAA4270F56AE431684589B4E21EAEBB4BDB, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=3294, Duration=0.505537, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_81FE8AC643384CF5F693D5A87678A580_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=0.491556, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_81FE8AC643384CF5F693D5A87678A580_0__2357EC7351C151349F3466EB584BBA3276992B26, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=8449, Duration=0.744455, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_81FE8AC643384CF5F693D5A87678A580_0__8A28236FC5BAD1481313A4D1337D677D5C2444E6, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=3539, Duration=0.707049, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_1B62166F4519638DC302A5AAA37020FF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=0.199575, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_1B62166F4519638DC302A5AAA37020FF_0__3177FA19DAAB05AE15A84922238022E22E443C23, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=3250, Duration=0.528242, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8EC19D5B464D7B98A37F96A23B2E24DD__1_0_13123_0, StartTime=2016.05.04-09.07.11, HierarchicalDDC=, DataSize=458, Duration=0.618678, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAA7A158454D6B20535C5D9AF9E34E79__1_0_13123_0, StartTime=2016.05.04-09.07.11, HierarchicalDDC=, DataSize=458, Duration=0.685021, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_8, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_BA327C2783421776B575E4B24E38A3AA, StartTime=2016.05.04-09.11.20, HierarchicalDDC=, DataSize=137751, Duration=1.166996, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_7, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_11822051BB4E2F412A68DCA016D5B51A, StartTime=2016.05.04-09.11.24, HierarchicalDDC=, DataSize=295893, Duration=1.090467, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_9, PutCachedData=, CacheKey=REFL_ENC_96DFC022836B48889143E9DF484C3296_11822051BB4E2F412A68DCA016D5B51A, StartTime=2016.05.04-09.13.15, HierarchicalDDC=, DataSize=524280, Duration=1.219332, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
SavePackageTransactionId18AE947D37471B74A6E689B59D45D7F2_0, Filename=../../../../../../nonnewaugart/UnrealProject/MechProject/Saved/Autosaves/Temp/Untitled_1_Auto1.umap, AutoPackageBackupDelegate=0.425875, FlushAsyncLoading=0.005115, FlushStreamingFunc=0.098825, BlockTillAllRequestsFinished=0.009701, ResetLoadersForSaveUnMarkAllObjects=22.127983, TagPackageExports=1.468826, BeginCacheForCookedPlatformData=0.002470, SerializeImports=6.834995, GatherLocalizableTextData=33.870743, MarkNames=0.157598, SerializeSummary=0.506524, SerializeNames=0.469405, SerializeGatherableTextData=0.050254, BuildExportMap=0.515006, SortExportsNonSeekfree=0.534955, SortExportsSeekfreeConstructor=0.120830, SortExportsSeekfreeInner=32.760048, SortExportsSeekfree=0.010841, BuildDependencyMap=0.176076, SerializeImportMap=0.107467, SerializeExportMap=0.046086, SerializeDependencyMap=0.010569, SerializeStringAssetReferenceMap=0.014983, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.085516, SerializeExports=3.802393, SerializeBulkData=21.869156, MoveFile=0.504777, UnaccountedTime=0.245284, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
MaterialTransactionId0C285F2EB84FC95AC8B064BE3FF8875F_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ31438B4038B4AEC5D7B618A95D02E9ED2_Num_SM4__0_66F45EB54557E1DEAA50C7B3CAA415AC__TBasePassVSTDistanceFieldShadowsAndLightMapPolicyHQAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTDistanceFieldShadowsAndLightMapPolicyHQSkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSTDistanceFieldShadowsAndLightMapPolicyHQA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTDistanceFieldShadowsAndLightMapPolicyHQ25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyLQAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyHQAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyLQSkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyHQSkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyLQA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyHQA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyLQ25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyHQ25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalseC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_TGPUSkinVertexFactorytrueC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C76327422420000000005880004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443430000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C000000894B6A10F53B3A4DD9B90556EE3CAEB5C39B3B870000000000000000000000000000000000000000, ShaderCompilation=9356.639648, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_6, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_E__88125E9DB8B78D8A5D53156F95B0C22BA1419C72, StartTime=2016.05.04-09.24.48, HierarchicalDDC=, DataSize=994388, Duration=2.610091, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
