CookerStat, GenerateAssetRegistry=0.027560, Initialize=0.182897, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdCEE9C5E202476A6D4FEDA8B122E7F2F5_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-10.20.58, Duration=3401.276855, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___3A2EE3FB0CB0FADFF01050EB26DE08E588A44547, StartTime=2016.05.06-10.21.01, HierarchicalDDC=, DataSize=16777477, Duration=399.761047, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__21D60FB094DA29A7583F7FADFDCFF5E0B17D90F1, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=131335, Duration=119.718163, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__9A7A3A934937D82708AA873E5707B2757ACB15D4, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=33031, Duration=117.346725, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__8A00D3249EFA10B6B7A34A6C8ACA53465AB74967, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=8455, Duration=118.454323, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__F3827FB82CCBC919A6ADDADD778D1E9E14BA87C1, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=5046, Duration=118.360542, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
MaterialTransactionId26949B29FD414B07EF5CB0B07A89E3FC_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ337EA9D2842281D32816808AF30B38325_Num_SM4__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalseC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_TGPUSkinVertexFactorytrueC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C76327422420000000005880004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443430000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C00000044433C8C31824D2B6B253D33ADB01844EED9F6470000000000000000000000000000000000000000, ShaderCompilation=48428.546875, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdCEE9C5E202476A6D4FEDA8B122E7F2F5_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F80C9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-10.21.05, Duration=3410.176758, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__10B57B9D0D403A311308130D17C2167B0FBE51E5, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=8388873, Duration=165.810623, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__A66D60EFEBA33C5B1E1463C14733C949E415C5D2, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=2097417, Duration=71.724838, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__ED765A328A32FDD92621735BBD6C76F8F384F5B4, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=524553, Duration=37.013947, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__AFC5185959C08280691B45EAA3D784D6B4F76382, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=131335, Duration=32.000332, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__94DFD86D31545ECF8D3C4FE0628A746151318BA2, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=33031, Duration=60.822811, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__2B597E2E356FE4B8EB2379054AC581351B480363, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=8455, Duration=60.353622, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_66462368448F4E324BDEDE92093F8__4EA7BE0853E32EEE5C2E638B5ACFD853E1CBCE49, StartTime=2016.05.06-10.21.08, HierarchicalDDC=, DataSize=5046, Duration=0.785179, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdCEE9C5E202476A6D4FEDA8B122E7F2F5_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-10.21.09, Duration=4800.962891, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___19BCF8EEFAF3420A8620F8C38762E25CCAD5C573, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=16777477, Duration=257.201141, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___6ECC4928650907E4706DDB99CF345D319FA37116, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=4194565, Duration=98.392586, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___D35DDB2BACE0650B6B6A48EE8FAE93F73AAEB219, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=1048837, Duration=44.625465, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___F311A05BA1CCDB1825DF60137CFBD1C26BA2B839, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=262403, Duration=46.972267, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___31F52C116CA2DD73708A6A06EAFA0794D041F678, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=65795, Duration=1.162808, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___DF8275EE54FB4D409BC35C4B65AF297001AD6A80, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=16643, Duration=1.107063, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B640207143DB41F523E207BB63169D47___76EF2BE89E5ECAEFFC02CDE01095D68915C0EC7D, StartTime=2016.05.06-10.21.14, HierarchicalDDC=, DataSize=7761, Duration=0.697304, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
MaterialTransactionId26949B29FD414B07EF5CB0B07A89E3FC_1, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ3575DD738924791770C33209998B57685_Num_SM4__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C763274224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=38320.074219, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
