CookerStat, GenerateAssetRegistry=0.044655, Initialize=0.255611, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9C57_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=207.103638, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId8C0A685A47DE60D02FA85C95CE2B15BE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C558E889741E74A39C6848821EC05BE__1_0_13123_0, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=458, Duration=2.375193, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFDE4E2F2473DC1ABF741898C57D7CDFB_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_14F9315E2741C0D56254FCA9048F3666__C2CA17536BBE9BCD9A26A2030741644D278C75E0, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=4143, Duration=1.962133, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_383BBDE5B245CB900333B2BDB5138566_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=6.018437, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD32AEDF24B4DA77C105A17B7A6969B01_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_383BBDE5B245CB900333B2BDB5138566__A14CFDACF46BB0C9784E3BF42976F130EEE53DD9, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=3267, Duration=1.154106, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B73F738ABA469EA8AA6176920E2DEF30_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=3.819555, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId4CEBCE65461234EC00B94BA6DD4F8E05_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B73F738ABA469EA8AA6176920E2DE__C13302F38CAC8E393A6806DE081943CB346760AA, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=3294, Duration=1.460914, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_892C087AF1486A399B55EDA1A69EA6D0_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=12.294795, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId78FCE7BA4EE1338DC4999AA329AC13A8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_892C087AF1486A399B55EDA1A69EA__9494D19B0F8D874A4057A2D9D378B36C3ABDABBA, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=131335, Duration=1.570243, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId344E1A224832A80AC8DF0DA661629425_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_892C087AF1486A399B55EDA1A69EA__8FC2DE14FD1C1B04CDEB26E6D1A567469AD3AF6C, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=33031, Duration=5.588826, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId8C0A685A47DE60D02FA85C95CE2B15BE_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_892C087AF1486A399B55EDA1A69EA__0A6FFC28EA86E70355B80D88DB1126326DD5EA17, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=8454, Duration=14.859770, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD839DA2445C6513E88C6FDA35D18C141_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_892C087AF1486A399B55EDA1A69EA__827F62435BA0752D339CF799495BE855E9B3D2B7, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=4178, Duration=1.870126, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
MaterialTransactionIdF4C749DD49775A25393ACAA58156C986_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3CADC59D5684A8C884B9BE59881262740_Num_SM5__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_OnePassPointLighttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalse6A4FBF2D5FFE1532D4D5F4077DE2FE3E6913685313222222222222020000000_TGPUSkinVertexFactorytrue6A4FBF2D5FFE1532D4D5F4077DE2FE3E6913685313222222222222020000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D3422420000000006480004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044044444423234141414141414141414141412130121414141414141414044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443432500000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000008000000080000000800000008000000080000000800000049000000100000000900000008000000100000001000000010000000260000001800000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000008000000080000000800000008000000080000000800000013000000100000000A0000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C0000003DC3DD65530DA823C7C88A1267AA5977941284B10000000000000000000000000000000000000000, ShaderCompilation=11442.851563, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_3457CF06A84128B23983648C5BD6398F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=0.528164, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFDE4E2F2473DC1ABF741898C57D7CDFB_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_3457CF06A84128B23983648C5BD6398F_0__8B9D2A296131D975F1D19078101092888EEA385C, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=8449, Duration=14.712717, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD32AEDF24B4DA77C105A17B7A6969B01_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_3457CF06A84128B23983648C5BD6398F_0__FE0A1025CD33FB77649A8EB30B853AB7EBD24EE0, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=3539, Duration=1.583718, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_E3DFD2E59142E360ABFAB997FF1674DC_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=0.198636, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId4CEBCE65461234EC00B94BA6DD4F8E05_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_E3DFD2E59142E360ABFAB997FF1674DC_0__E5BE474180DA7C1E48F7487DEDF840C726E615B6, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=3250, Duration=1.559466, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
